"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"41278",2014,"AK","Electric Generators, Electric Utilities","Wind",99644
"43304",2015,"AK","Total Electric Power Industry","Coal",667549
"43305",2015,"AK","Total Electric Power Industry","Hydro",1568929
"43306",2015,"AK","Total Electric Power Industry","Natural Gas",3089713
"43308",2015,"AK","Total Electric Power Industry","Petroleum",746567
"43310",2015,"AK","Total Electric Power Industry","Wind",159694
"43311",2015,"AK","Total Electric Power Industry","Wood",0
"43313",2015,"AK","Combined Heat and Power, Industrial Power","Natural Gas",70301
"43314",2015,"AK","Combined Heat and Power, Industrial Power","Petroleum",45827
"43317",2015,"AK","Combined Heat and Power, Commercial Power","Coal",108903
"43318",2015,"AK","Combined Heat and Power, Commercial Power","Natural Gas",1
"43319",2015,"AK","Combined Heat and Power, Commercial Power","Petroleum",5728
"43321",2015,"AK","Combined Heat and Power, Commercial Power","Wood",0
"43323",2015,"AK","Combined Heat and Power, Electric Power","Coal",198296
"43324",2015,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"43326",2015,"AK","Combined Heat and Power, Electric Power","Wood",0
"43328",2015,"AK","Electric Generators, Independent Power Producers","Wind",54562
"43330",2015,"AK","Electric Generators, Electric Utilities","Coal",360351
"43331",2015,"AK","Electric Generators, Electric Utilities","Hydro",1568929
"43332",2015,"AK","Electric Generators, Electric Utilities","Natural Gas",3019411
"43334",2015,"AK","Electric Generators, Electric Utilities","Petroleum",695012
"43335",2015,"AK","Electric Generators, Electric Utilities","Wind",105132
"45352",2016,"AK","Total Electric Power Industry","Coal",594139
"45353",2016,"AK","Total Electric Power Industry","Hydro",1659152
"45354",2016,"AK","Total Electric Power Industry","Natural Gas",3040487
"45356",2016,"AK","Total Electric Power Industry","Petroleum",831330
"45358",2016,"AK","Total Electric Power Industry","Wind",169301
"45359",2016,"AK","Total Electric Power Industry","Wood",0
"45361",2016,"AK","Combined Heat and Power, Industrial Power","Natural Gas",62679
"45362",2016,"AK","Combined Heat and Power, Industrial Power","Petroleum",48292
"45365",2016,"AK","Combined Heat and Power, Commercial Power","Coal",107009
"45366",2016,"AK","Combined Heat and Power, Commercial Power","Hydro",168147
"45367",2016,"AK","Combined Heat and Power, Commercial Power","Natural Gas",1131
"45368",2016,"AK","Combined Heat and Power, Commercial Power","Petroleum",2927
"45370",2016,"AK","Combined Heat and Power, Commercial Power","Wood",0
"45372",2016,"AK","Combined Heat and Power, Electric Power","Coal",191982
"45373",2016,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"45375",2016,"AK","Combined Heat and Power, Electric Power","Wood",0
"45377",2016,"AK","Electric Generators, Independent Power Producers","Wind",60468
"45379",2016,"AK","Electric Generators, Electric Utilities","Coal",295148
"45380",2016,"AK","Electric Generators, Electric Utilities","Hydro",1491005
"45381",2016,"AK","Electric Generators, Electric Utilities","Natural Gas",2976677
"45383",2016,"AK","Electric Generators, Electric Utilities","Petroleum",780110
"45384",2016,"AK","Electric Generators, Electric Utilities","Wind",108833
"47426",2017,"AK","Total Electric Power Industry","Coal",555707
"47427",2017,"AK","Total Electric Power Industry","Hydro",1643670
"47428",2017,"AK","Total Electric Power Industry","Natural Gas",3234868
"47430",2017,"AK","Total Electric Power Industry","Petroleum",880682
"47432",2017,"AK","Total Electric Power Industry","Wind",141687
"47433",2017,"AK","Total Electric Power Industry","Wood",0
"47435",2017,"AK","Combined Heat and Power, Industrial Power","Natural Gas",62324
"47436",2017,"AK","Combined Heat and Power, Industrial Power","Petroleum",44153
"47439",2017,"AK","Combined Heat and Power, Commercial Power","Coal",103820
"47440",2017,"AK","Combined Heat and Power, Commercial Power","Hydro",182088
"47441",2017,"AK","Combined Heat and Power, Commercial Power","Natural Gas",2400
"47442",2017,"AK","Combined Heat and Power, Commercial Power","Petroleum",4961
"47444",2017,"AK","Combined Heat and Power, Commercial Power","Wood",0
"47446",2017,"AK","Combined Heat and Power, Electric Power","Coal",180906
"47447",2017,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"47449",2017,"AK","Combined Heat and Power, Electric Power","Wood",0
"47451",2017,"AK","Electric Generators, Independent Power Producers","Wind",50322
"47453",2017,"AK","Electric Generators, Electric Utilities","Coal",270981
"47454",2017,"AK","Electric Generators, Electric Utilities","Hydro",1461582
"47455",2017,"AK","Electric Generators, Electric Utilities","Natural Gas",3170144
"47457",2017,"AK","Electric Generators, Electric Utilities","Petroleum",831569
"47458",2017,"AK","Electric Generators, Electric Utilities","Wind",91365
"49521",2018,"AK","Total Electric Power Industry","Coal",628564
"49522",2018,"AK","Total Electric Power Industry","Hydro",1664225
"49523",2018,"AK","Total Electric Power Industry","Natural Gas",2947902
"49525",2018,"AK","Total Electric Power Industry","Petroleum",809278
"49527",2018,"AK","Total Electric Power Industry","Wind",155015
"49528",2018,"AK","Total Electric Power Industry","Wood",0
"49530",2018,"AK","Combined Heat and Power, Industrial Power","Natural Gas",64727
"49531",2018,"AK","Combined Heat and Power, Industrial Power","Petroleum",42582
"49534",2018,"AK","Combined Heat and Power, Commercial Power","Coal",103477
"49535",2018,"AK","Combined Heat and Power, Commercial Power","Hydro",175622
"49536",2018,"AK","Combined Heat and Power, Commercial Power","Natural Gas",264
"49537",2018,"AK","Combined Heat and Power, Commercial Power","Petroleum",5981
"49539",2018,"AK","Combined Heat and Power, Commercial Power","Wood",0
"49541",2018,"AK","Combined Heat and Power, Electric Power","Coal",177819
"49542",2018,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"49544",2018,"AK","Combined Heat and Power, Electric Power","Wood",0
"49546",2018,"AK","Electric Generators, Independent Power Producers","Wind",56327
"49548",2018,"AK","Electric Generators, Electric Utilities","Coal",347268
"49549",2018,"AK","Electric Generators, Electric Utilities","Hydro",1488603
"49550",2018,"AK","Electric Generators, Electric Utilities","Natural Gas",2882912
"49552",2018,"AK","Electric Generators, Electric Utilities","Petroleum",760716
"49553",2018,"AK","Electric Generators, Electric Utilities","Wind",98688
"51634",2019,"AK","Total Electric Power Industry","Coal",683055
"51635",2019,"AK","Total Electric Power Industry","Hydro",1623366
"51636",2019,"AK","Total Electric Power Industry","Natural Gas",2686990
"51638",2019,"AK","Total Electric Power Industry","Petroleum",901196
"51640",2019,"AK","Total Electric Power Industry","Wind",142591
"51641",2019,"AK","Total Electric Power Industry","Wood",0
"51643",2019,"AK","Combined Heat and Power, Industrial Power","Natural Gas",68210
"51644",2019,"AK","Combined Heat and Power, Industrial Power","Petroleum",46870
"51647",2019,"AK","Combined Heat and Power, Commercial Power","Coal",90861
"51648",2019,"AK","Combined Heat and Power, Commercial Power","Hydro",130342
"51649",2019,"AK","Combined Heat and Power, Commercial Power","Natural Gas",14
"51650",2019,"AK","Combined Heat and Power, Commercial Power","Petroleum",6891
"51652",2019,"AK","Combined Heat and Power, Commercial Power","Wood",0
"51654",2019,"AK","Combined Heat and Power, Electric Power","Coal",186691
"51655",2019,"AK","Combined Heat and Power, Electric Power","Petroleum",0
"51657",2019,"AK","Combined Heat and Power, Electric Power","Wood",0
"51659",2019,"AK","Electric Generators, Independent Power Producers","Petroleum",2758
"51660",2019,"AK","Electric Generators, Independent Power Producers","Wind",53213
"51662",2019,"AK","Electric Generators, Electric Utilities","Coal",405504
"51663",2019,"AK","Electric Generators, Electric Utilities","Hydro",1493024
"51664",2019,"AK","Electric Generators, Electric Utilities","Natural Gas",2618766
"51666",2019,"AK","Electric Generators, Electric Utilities","Petroleum",844677
"51667",2019,"AK","Electric Generators, Electric Utilities","Wind",89378
